Date,Open,High,Low,Close,Adj Close,Volume
2019-04-11,4.210000,4.290000,4.110000,4.230000,4.080987,63000
2019-04-12,4.150000,4.190000,4.030000,4.050000,3.907329,91600
2019-04-15,4.050000,4.070000,3.950000,3.950000,3.810851,81900
2019-04-16,3.930000,4.090000,3.910000,4.000000,3.859090,58600
2019-04-17,4.010000,4.050000,3.960000,4.050000,3.907329,49600
2019-04-18,4.020000,4.100000,4.000000,4.100000,3.955567,41700
2019-04-22,4.070000,4.170000,3.950000,3.980000,3.839794,45300
2019-04-23,4.000000,4.080000,3.950000,3.990000,3.849442,77200
2019-04-24,3.990000,4.050000,3.870000,3.870000,3.733669,137900
2019-04-25,3.850000,3.950000,3.830000,3.920000,3.781908,84300
2019-04-26,3.950000,4.010000,3.880000,3.910000,3.772260,93800
2019-04-29,3.910000,3.940000,3.860000,3.880000,3.743317,75400
2019-04-30,3.910000,3.960000,3.640000,3.730000,3.598601,237600
2019-05-01,3.730000,3.850000,3.730000,3.850000,3.714374,46600
2019-05-02,3.850000,3.860000,3.680000,3.680000,3.550363,76300
2019-05-03,3.720000,3.790000,3.680000,3.690000,3.560011,66900
2019-05-06,3.690000,3.790000,3.680000,3.720000,3.588953,111700
2019-05-07,3.680000,3.820000,3.640000,3.730000,3.598601,122000
2019-05-08,3.690000,3.720000,3.660000,3.670000,3.540715,149800
2019-05-09,3.600000,3.620000,3.510000,3.540000,3.415294,94600
2019-05-10,3.570000,3.660000,3.440000,3.620000,3.492476,98300
2019-05-13,3.540000,3.540000,3.410000,3.420000,3.299522,68900
2019-05-14,3.420000,3.550000,3.110000,3.260000,3.145158,233100
2019-05-15,3.210000,3.340000,3.210000,3.300000,3.183749,52200
2019-05-16,3.300000,3.310000,2.980000,3.110000,3.000442,401500
2019-05-17,3.120000,3.180000,3.070000,3.160000,3.048681,231400
2019-05-20,3.150000,3.180000,3.030000,3.050000,2.942556,184300
2019-05-21,3.040000,3.350000,2.880000,3.250000,3.135510,731500
2019-05-22,3.210000,3.260000,3.030000,3.070000,2.996822,163500
2019-05-23,3.070000,3.130000,3.000000,3.080000,3.006583,91400
2019-05-24,3.080000,4.000000,3.030000,3.960000,3.865608,2921600
2019-05-28,4.260000,4.290000,3.910000,4.050000,3.953462,1085000
2019-05-29,4.050000,4.110000,3.900000,3.930000,3.836323,199200
2019-05-30,3.920000,3.960000,3.810000,3.900000,3.807038,135700
2019-05-31,3.870000,3.920000,3.630000,3.650000,3.562997,110100
2019-06-03,3.670000,3.740000,3.450000,3.460000,3.377526,121600
2019-06-04,3.510000,3.740000,3.500000,3.700000,3.611805,96900
2019-06-05,3.740000,3.790000,3.630000,3.680000,3.592282,113600
2019-06-06,3.700000,3.700000,3.490000,3.510000,3.426334,29900
2019-06-07,3.630000,3.710000,3.590000,3.700000,3.611805,96800
2019-06-10,3.710000,3.810000,3.700000,3.700000,3.611805,123900
2019-06-11,3.610000,3.730000,3.610000,3.700000,3.611805,114900
2019-06-12,3.680000,3.790000,3.630000,3.670000,3.582520,35900
2019-06-13,3.680000,3.750000,3.520000,3.520000,3.436096,63700
2019-06-14,3.520000,3.670000,3.520000,3.570000,3.484904,47700
2019-06-17,3.550000,3.550000,3.360000,3.390000,3.309195,118300
2019-06-18,3.390000,3.470000,3.390000,3.410000,3.328718,57400
2019-06-19,3.390000,3.640000,3.350000,3.600000,3.514189,188500
2019-06-20,3.640000,3.900000,3.610000,3.870000,3.777753,213400
2019-06-21,3.700000,3.900000,3.570000,3.810000,3.719183,61700
2019-06-24,3.790000,3.850000,3.630000,3.690000,3.602044,52300
2019-06-25,3.690000,3.860000,3.660000,3.730000,3.641090,48500
2019-06-26,3.760000,3.820000,3.660000,3.700000,3.611805,34000
2019-06-27,3.700000,3.730000,3.670000,3.670000,3.582520,14200
2019-06-28,3.690000,3.890000,3.660000,3.880000,3.787515,76300
2019-07-01,3.940000,4.000000,3.660000,3.750000,3.660613,68700
2019-07-02,3.720000,3.780000,3.670000,3.710000,3.621567,58700
2019-07-03,3.690000,3.890000,3.680000,3.890000,3.797276,16200
2019-07-05,3.740000,4.080000,3.740000,4.030000,3.933939,279000
2019-07-08,4.050000,4.140000,4.010000,4.110000,4.012032,153700
2019-07-09,4.080000,4.160000,4.030000,4.080000,3.982747,95200
2019-07-10,4.110000,4.110000,4.010000,4.080000,3.982747,129200
2019-07-11,4.060000,4.140000,4.040000,4.070000,3.972986,44200
2019-07-12,4.070000,4.350000,4.040000,4.350000,4.246311,128500
2019-07-15,4.140000,4.380000,4.120000,4.260000,4.158457,130800
2019-07-16,4.300000,4.400000,4.220000,4.250000,4.148695,198000
2019-07-17,4.250000,4.260000,4.150000,4.150000,4.051079,96800
2019-07-18,4.140000,4.240000,4.120000,4.180000,4.080363,46900
2019-07-19,4.170000,4.340000,4.170000,4.330000,4.226788,38300
2019-07-22,4.400000,4.410000,4.180000,4.290000,4.187742,52300
2019-07-23,4.250000,4.250000,4.020000,4.150000,4.051079,84600
2019-07-24,4.180000,4.180000,4.000000,4.050000,3.953462,216300
2019-07-25,4.020000,4.030000,3.750000,3.780000,3.689898,94600
2019-07-26,3.760000,3.940000,3.760000,3.920000,3.826561,68800
2019-07-29,3.950000,4.100000,3.910000,4.090000,3.992509,124300
2019-07-30,4.090000,4.090000,4.000000,4.070000,3.972986,67200
2019-07-31,4.050000,4.120000,3.960000,3.990000,3.894892,73100
2019-08-01,4.000000,4.000000,3.740000,3.910000,3.816799,47000
2019-08-02,3.880000,3.950000,3.710000,3.920000,3.826561,53100
2019-08-05,3.900000,3.900000,3.720000,3.880000,3.787515,84500
2019-08-06,3.880000,4.000000,3.740000,3.760000,3.670375,66800
2019-08-07,3.740000,3.900000,3.730000,3.890000,3.797276,27400
2019-08-08,3.940000,4.070000,3.890000,4.050000,3.953462,94600
2019-08-09,4.020000,4.050000,3.910000,3.950000,3.855846,74300
2019-08-12,3.920000,3.920000,3.820000,3.890000,3.797276,47500
2019-08-13,3.880000,4.000000,3.830000,3.940000,3.846084,136400
2019-08-14,3.920000,3.980000,3.750000,3.780000,3.689898,55100
2019-08-15,3.770000,3.770000,3.350000,3.700000,3.647677,255400
2019-08-16,3.610000,3.700000,3.510000,3.650000,3.598384,155700
2019-08-19,3.650000,3.650000,3.450000,3.520000,3.470222,76500
2019-08-20,3.580000,3.580000,3.190000,3.200000,3.154747,275300
2019-08-21,3.290000,3.300000,3.000000,3.040000,2.997010,358400
2019-08-22,3.030000,3.090000,2.950000,2.980000,2.937859,191900
2019-08-23,3.000000,3.000000,2.730000,2.910000,2.868849,289300
2019-08-26,2.950000,2.980000,2.790000,2.800000,2.760404,198900
2019-08-27,2.750000,2.850000,2.550000,2.690000,2.651960,314400
2019-08-28,2.730000,2.830000,2.570000,2.580000,2.543515,481300
2019-08-29,2.590000,2.730000,2.590000,2.650000,2.612525,235000
2019-08-30,2.700000,2.750000,2.640000,2.680000,2.642101,310000
2019-09-03,2.740000,2.740000,2.590000,2.640000,2.602667,111000
2019-09-04,2.630000,2.710000,2.600000,2.660000,2.622384,141800
2019-09-05,2.660000,2.730000,2.550000,2.590000,2.553374,369100
2019-09-06,2.600000,2.660000,2.550000,2.600000,2.563232,197500
2019-09-09,2.590000,2.810000,2.580000,2.790000,2.750545,315600
2019-09-10,2.790000,3.010000,2.790000,2.990000,2.947717,409900
2019-09-11,3.000000,3.030000,2.920000,2.970000,2.928000,201600
2019-09-12,2.900000,3.150000,2.900000,3.100000,3.100000,297700
2019-09-13,3.100000,3.350000,3.100000,3.320000,3.320000,472500
2019-09-16,3.340000,3.350000,3.050000,3.170000,3.170000,218600
2019-09-17,3.170000,3.180000,3.110000,3.140000,3.140000,235100
2019-09-18,3.130000,3.190000,3.100000,3.140000,3.140000,54800
2019-09-19,3.130000,3.160000,3.080000,3.090000,3.090000,151500
2019-09-20,3.050000,3.120000,2.980000,2.990000,2.990000,124500
